Q3 2019 Architecture S1,Q3 2019 Architecture S2,Q3 2019 Architecture S3,Q3 2019 Architecture S4,Q4 2019 Architecture S1,Q4 2019 Architecture S2,Q4 2019 Architecture S3,Q4 2019 Architecture S4,Q1 2020 Architecture S1,Q1 2020 Architecture S2,Q1 2020 Architecture S3,Q1 2020 Architecture S4,Q2 2020 Architecture S1,Q2 2020 Architecture S2,Q2 2020 Architecture S3,Q3 2020 Architecture S1,Q3 2020 Architecture S2,Q3 2020 Architecture S3,Q3 2020 Architecture S4,Q4 2020 Architecture S1,Q4 2020 Architecture S2,Q4 2020 Architecture S3,Q4 2020 Architecture S4,Q3 2019 Charge Integrity S1,Q3 2019 Charge Integrity S2,Q3 2019 Charge Integrity S3,Q3 2019 Charge Integrity S4,Q4 2019 Charge Integrity S1,Q4 2019 Charge Integrity S2,Q4 2019 Charge Integrity S3,Q1 2020 Charge Integrity S1,Q1 2020 Charge Integrity S2,Q1 2020 Charge Integrity S3,Q1 2020 Charge Integrity S4,Q2 2020 Charge Integrity S1,Q2 2020 Charge Integrity S2,Q2 2020 Charge Integrity S3,Q2 2020 Charge Integrity S4,Q3 2020 Charge Integrity S1,Q3 2020 Charge Integrity S2,Q3 2020 Charge Integrity S3,Q4 2020 Charge Integrity S1,Q4 2020 Charge Integrity S2,Q4 2020 Charge Integrity S3,Q4 2020 Charge Integrity S4,Q1 2021 Charge Integrity S1,Q1 2021 Charge Integrity S2,Q1 2021 Charge Integrity S3,Q3 2019 Claims S2,Q3 2019 Claims S3,Q3 2019 Claims S4,Q4 2019 Claims S1,Q4 2019 Claims S2,Q4 2019 Claims S3,Q4 2019 Claims S4,Q1 2020 Claims S1,Q1 2020 Claims S2,Q1 2020 Claims S3,Q1 2020 Claims S4,Q2 2020 Claims S1,Q2 2020 Claims S2,Q2 2020 Claims S3,Q2 2020 Claims S4,Q3 2020 Claims S2,Q3 2020 Claims S3,Q3 2020 Claims S4,Q4 2020 Claims S1,Q4 2020 Claims S2,Q4 2020 Claims S3,Q4 2020 Claims S4,Q1 2021 Claims S1,Q1 2021 Claims S2,Q1 2021 Claims S3,Q1 2021 Claims S4,Q3 2019 Contract Management S2,Q3 2019 Contract Management S3,Q4 2019 Contract Management S2,Q4 2019 Contract Management S3,Q1 2020 Contract Management S1,Q1 2020 Contract Management S2,Q1 2020 Contract Management S3,Q1 2020 Contract Management S4,Q3 2020 Contract Management S 2,Q4 2020 Contract Management S 1,Q4 2020 Contract Management S 2,Q4 2020 Contract Management S 3,Q4 2020 Contract Management S4,Q1 2021 Contract Management S1,Q1 2021 Contract Management S2,Q1 2021 Contract Management S3,Q1 2021 Contract Management S4,Q4 2019 Coverage Detection S3,Q1 2021 Coverage Detection S1,Q1 2021 Coverage Detection S2,Q1 2021 Coverage Detection S3,Q1 2021 Coverage Detection S4,Q3 2019 Denial Management S4,Q4 2019 Denial Management S3,Q1 2020 Denial Management S2,Q1 2020 Denial Management S3,Q1 2020 Denial Management S4,Q2 2020 Denial Management S1,Q2 2020 Denial Management S3,Q2 2020 Denial Management S2,Q2 2020 Denial Management S4,Q3 2020 Denial Management S3,Q4 2020 Denial Management S3,Q4 2020 Denial Management S4,Q1 2021 Denial Management S1,Q1 2021 Denial Management S2,Q1 2021 Denial Management S3,Q1 2021 Denial Management S4,Q1 2020 Eligibility S1,Q1 2020 Eligibility S2,Q1 2020 Eligibility S3,Q3 2019 Eligibility S2,Q4 2019 Eligibility S3,Q4 2019 Eligibility S4,Q2 2020 Eligibility S1,Q2 2020 Eligibility S2,Q2 2020 Eligibility S3,Q2 2020 Eligibility S4,Q3 2020 Eligibility S3,Q3 2020 Eligibility S4,Q4 2020 Eligibility S1,Q4 2020 Eligibility S2,Q4 2020 Eligibility S3,Q4 2020 Eligibility S4,Q3 2019 Estimation S4,Q4 2019 Estimation S2,Q4 2019 Estimation S4,Q1 2020 Estimation S2,Q2 2020 Estimation S1,Q2 2020 Estimation S2,Q2 2020 Estimation S3,Q2 2020 Estimation S4,Q1 2020 Infrastructure S1,Q4 2018 Internal S2,Q4 2018 Internal S4,Q3 2019 Internal S2,Q3 2019 Internal S3,Q3 2019 Internal S4,Q4 2019 Internal S4,Q1 2020 Internal S1,Q1 2020 Internal S2,Q1 2020 Internal S3,Q1 2020 Internal S4,Q2 2020 Internal S1,Q2 2020 Internal S2,Q2 2020 Internal S3,Q2 2020 Internal S4,Q4 2020 Internal S4,Q1 2021 Internal S1,Q1 2021 Internal S2,Q1 2021 Internal S3,Q1 2021 Internal S4,Q3 2019 Patient Payments S2,Q3 2019 Patient Payments S3,Q3 2019 Patient Payments S4,Q4 2019 Patient Payments S2,Q4 2019 Patient Payments S3,Q4 2019 Patient Payments S4,Q1 2020 Patient Payments S2,Q1 2020 Patient Payments S3,Q1 2020 Patient Payments S4,Q2 2020 Patient Payments S1,Q2 2020 Patient Payments S2,Q2 2020 Patient Payments S3,Q2 2020 Patient Payments S4,Q3 2020 Patient Payments S1,Q3 2020 Patient Payments S2,Q3 2020 Patient Payments S3,Q3 2020 Patient Payments S4,Q4 2020 Patient Payments S1,Q4 2020 Patient Payments S2,Q4 2020 Patient Payments S3,Q4 2020 Patient Payments S4,Q1 2021 Patient Payments S1,Q1 2021 Patient Payments S2,Q1 2021 Patient Payments S3,Q1 2021 Patient Payments S4,Q3 2019 Remits S2,Q3 2019 Remits S3,Q3 2019 Remits S4,Q4 2019 Remits S1,Q4 2019 Remits S2,Q4 2019 Remits S3,Q4 2019 Remits S4,Q1 2020 Remits S2,Q1 2020 Remits S3,Q1 2020 Remits S4,Q2 2020 Remits S1,Q2 2020 Remits S2,Q2 2020 Remits S3,Q2 2020 Remits S4,Q3 2020 Remits S3,Q3 2020 Remits S4,Q4 2020 Remits S1,Q4 2020 Remits S2,Q4 2020 Remits S3,Q4 2020 Remits S4,Q1 2021 Remits S1,Q1 2021 Remits S2,Q1 2021 Remits S3,Q1 2021 Remits S4,Q3 2019 All S1,Q4 2019 All S1,Q1 2020 All S1,Q2 2020 All S1,Q3 2019 All S2,Q4 2019 All S2,Q1 2020 AllS2,Q3 2019 All S3,Q4 2019 All S3,Q1 2020 All S3,Q3 2019 All S4,Q4 2019 All S4,Q1 2020 All S4,Q2 2020 All S1,Q2 2020 All S2,Q2 2020 All S3,Q2 2020 All S4,Q3 2020 All S1,Q3 2020 All S2,Q3 2020 All S3,Q3 2020 All S4,Q4 2020 All S1,Q4 2020 All S2,Q4 2020 All S3,Q4 2020 All S4,Q1 2021 All S1,Q1 2021 All S2,Q1 2021 All S3,Q1 2021 All S4
,1.89,13.76,38.76,,0.98,11.26,,0.01,0.77,31,,0.02,,1.8,,0.64,4.07,10.13,0.29,,22.98,0.77,0.03,0.86,0.19,0.89,1.01,0.02,0.06,1.97,41.08,7.1,,,20.01,25.92,,,10.99,22.81,0.93,6.78,4.07,,,12.85,,0.03,0.89,16.75,0.01,11.09,0.14,56.97,,0.14,9.13,16.14,0.02,4.17,27.25,17.2,9.96,21.84,21.01,,,0.09,3.11,,7.03,,,0.38,7.74,7.17,3.83,,8.14,,,3.85,,0.03,,,,4.85,,,,,,0.95,3.89,22.91,18.82,,48.88,,,4.02,,6.2,19.12,3.12,13.97,,,,4.56,,,,0.96,19.91,,,0.1,,,2.83,2.79,,,1.06,,,,,,6.89,18.6,5.1,3.98,8.68,94.11,23.25,0.92,13.86,20.99,20.99,,0.22,28.7,0.07,1.92,,16.95,,11.12,,,2.87,,0.17,0.26,9.15,5.91,42.77,28.14,2,39.13,13.78,,0.1,1.18,5.73,0.74,12.79,11.08,23.2,,5.9,10.27,9.8,,0.79,,5,0.04,0.01,11.92,6.12,0.87,4.12,4.76,0.75,1.06,4.08,,,4.86,0.24,28.09,0.89,,,7,,,3.96,,,0.04,0.01,1.97,,0.04,0.96,0.11,0.19,0.14,39.13,0.89,0.03,16.14,0.02,4.17,51.83,0.25,0,10.99,22.81,21.01,0.29,5.9,22.98,0.14,,5.16,0.95,3.89
,3.73,11.96,19.86,,4.3,25.04,,0.2,0.77,0.17,,0.88,,1.8,,0.05,2.22,,0.05,,9.04,,1.55,2.07,3.96,4.15,2.83,2.1,4.14,0.87,45.82,,,,,,,,8.79,33.95,,,13.27,,,0.87,,0.51,3.22,55,,4.96,14.96,21.86,,7.16,18.16,4.08,,12.52,18.73,,2.94,17.7,40.01,,,,,,,,,,14.77,,8.92,,,,,29.12,,1.05,,,,,,,,,,,,,16.76,,1.86,,,,,,16.18,,,,,,,,,,,,,,0.03,,,2.81,,,,,,,,,,12.03,15.93,,,,,,4.57,,,1.73,,,23.98,,,,20.18,,,,,,,2.77,1.85,61.87,32.02,8.91,51.28,,8.97,5.95,,0.03,,,,8.91,21.69,23.26,,4.8,7.93,,,0.4,,,1.07,0.78,,,1.83,3.78,,0.98,0.72,,,,,,18.77,,,,8.97,,,,,,0.03,1.01,8.68,,0.38,0.87,41.08,0.26,0.06,28.7,2.88,1.73,13.78,0.88,2.16,27.25,6.2,0.74,12.79,28.09,23.2,,2.2,3.12,31.21,,12.85,2.87,4.56
,,59.96,21.86,,,29.79,,,,0.05,,0.78,,1.97,,,1.92,,,,,,,4.31,4.31,5.91,,3.92,84.03,,0.76,,,,,,,,2.89,15.91,,,,,,,,0.04,3.69,14.04,,0.96,25.09,,,0.13,15.95,28.94,,0.23,15.95,,15.06,0.07,44,,,,,,,,,,17.8,,5.94,,,,,15.04,,,,,,,,,,,,,,,11.35,,0.1,,,,,,,,,,,,,,,,,,,,0.98,,,0.24,,,,,,,,,,,,,,,,,,,,1.59,,,16.19,,,,,,,,,,,5.01,2.27,12.77,25.63,25.18,15,,8.92,,,6.64,,,,1.03,18.89,13.54,,,12.92,,,0.08,,,,0.94,,,2.78,28.76,,,0.87,,,,,,9.9,,,,0.83,,,,,,0.2,2.83,1.24,,0.86,0.98,45.82,0.01,0.85,1.06,1.84,1.59,64.07,2.78,0.1,34.82,17.2,,8.79,7,23.26,,3.77,1.06,26.99,,0.87,,5
,,,,,,,,,,31,,0.01,,,,,,,,,,,,4.98,5.88,21.87,,4.88,73.07,,1.8,,,,,,,,5.04,55.75,,,,,,,,0.9,3.96,,,39.05,36.71,,,0.09,34.74,,,3.55,0.82,,3.04,32.02,41.83,,,,,,,,,,17.5,,12.01,,,,,,,,,,,,,,,,,,,,5.99,,3.87,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,11.84,16.88,4.09,24.89,,,,,4.06,,,,10.25,4,39.23,,,3.97,,,,,,,0.77,,,7.84,,,,,,,,,,9.07,,,,5.08,,,,,,1.55,6.12,,,0.96,0.02,0.14,0.78,0.16,23.98,4.15,4.76,4.08,2.01,12.52,18.73,5.73,,0.15,2.83,13.54,,21.74,0.83,13.97,,7.03,,
,,,,,,,,,,0.17,,,,,,,,,,,,,,,9.22,21.85,,5.99,72.18,,,,,,,,,,4.75,6.97,,,,,,,,7.82,8.42,,,0.99,48,,,0.18,13.8,,,,27.25,,0.26,0.04,11.93,,,,,,,,,,12.95,,21.99,,,,,,,,,,,,,,,,,,,,34.99,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,114.83,,24.39,14.75,,,,,,,,,2.12,,5.28,,,0.12,,,,,,,2.9,,,,,,,,,,,,,9,,,,0.93,,,,,,,,,,0.92,0.99,7.16,0.94,0.19,48.88,5.91,4.75,5.95,1.07,1.23,16.95,0.9,,8.91,2.81,39.23,,,28.96,26.33,,4.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,11.18,,,9.31,92.97,,,,,,,,,,,,,,,,,,,,9.23,,,8.24,20.12,,,,12.06,,,,18.73,,3.98,1.99,22.81,,,,,,,,,,,,17.99,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,,,2.05,31.72,,,,,,,,,1.8,,,,,,,,,,,,1.71,,,,,,,,,,,,,4.94,,,,1.03,,,,,,,,,,0.03,1.83,8.14,0.77,0.09,62.1,9.15,9.13,0.07,1.83,0.03,1.8,17.91,,9.96,21.84,9.14,,,4.07,9.8,,0.79,,
,,,,,,,,,,,,,,,,,,,,,,,,,16.15,,,39.01,19.09,,,,,,,,,,,,,,,,,,,,35.94,,,1.38,2.89,,,,15.73,,,,15.95,,1.09,21.04,22.01,,,,,,,,,,,,35.17,,,,,,,,,,,,,,,,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,,,37.09,4.75,,,,,,,,,4.04,,,,,,,,,,,,4.87,,,,,,,,,,,,,16.08,,,,,,,,,,,,,,0.17,2.1,0.75,0.89,0.03,8.97,11.92,19.06,28.94,0.1,6.64,20.18,2.37,,2.94,33.95,40.01,,,9.04,21.96,,0.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,38.98,,,36.83,43.89,,,,,,,,,,,,,,,,,,,,38.72,,,3.92,26.89,,,,,,,,0.82,,6.08,8.73,2.97,,,,,,,,,,,,46.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19,,,19.2,,,,,,,,,,0.02,,,,,,,,,,,,8.86,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,0.51,1.38,0.76,1.85,2.89,9.13,22.91,28.14,4.08,,20.01,4.02,6.02,,15.06,0.24,2.79,,,10.27,5.3,,0.08,,
,,,,,,,,,,,,,,,,,,,,,,,,,49.22,,,,52.91,,,,,,,,,,,,,,,,,,,,16.03,,,,21.94,,,,,,,,27.25,,2.97,16.96,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.96,,,6.73,,,,,,,,,,7.98,,,,,,,,,,,,16.86,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,0.04,2.78,0.22,2.9,2.05,18.16,30.94,51.28,16.14,,0.23,45.04,0.76,,2.89,4.07,10.13,,,7.93,17.18,,3.96,,
,,,,,,,,,,,,,,,,,,,,,,,,,39.34,,,,,,,,,,,,,,,,,,,,,,,,24.96,,,,7.19,,,,,,,,18.73,,,27.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,20.76,,,,,,,,,,,,,9,,,,,,,,,,,,,,0.9,2,9,1.71,2.76,39.13,16.75,56.97,13.78,,3.55,25.92,,,1.03,76.9,44,,,11.98,0.77,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,71.05,,,,,,,,,,,,,,,,,,,,,,,,11.96,,,,6.84,,,,,,,,,,,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,3.92,0.98,2.27,4.14,15.95,38.76,15,64.07,,15.59,6.83,,,10.25,76.8,41.83,,,13.27,12.92,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,33.09,,,,,,,,,,,,,,,,,,,,,,,,22.4,,,,32.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,4.3,0.77,2.96,4.09,1.86,19.86,21.86,4.08,,4.06,39.08,,,14.09,76.03,11.93,,,5.08,11.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,21.17,,,,,,,,,,,,,,,,,,,,,,,,81.95,,,,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,4.96,0.13,1.71,4.12,0.72,21.87,24.89,5.95,,14.05,39,,,3.04,41.03,22.81,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,16.01,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,4.88,0.09,3.96,3.83,16.19,61.87,14.75,0.07,,1.14,49.12,,,2.12,9.07,0.89,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,3.92,1.8,4.87,3.78,0.1,55,31.72,28.94,,0.11,15.95,,,1.8,9,22.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,7.84,,3.22,8.91,7.1,21.85,,4.08,,0.86,1.18,,,0.26,19.12,22.01,,,,,,,,
